用户ID,IP区域,加入时间,离开时间,观看时长,观看时长(秒),登录名,手机,公司,地区,省份,城市,区,电话,邮箱,加入类型
"	1000097679","中国	新疆	乌鲁木齐	",2019/4/26 19:05,2019/4/26 19:07,0小时2分17秒,137.0(s),个人电脑,,,,,,,,,
"	1000097679","中国	新疆	乌鲁木齐	",2019/4/26 19:07,2019/4/26 21:53,2小时45分6秒,9906.0(s),个人电脑,,,,,,,,,
"	1000102004","中国	新疆	乌鲁木齐	",2019/4/26 20:00,2019/4/26 21:51,1小时51分12秒,6672.0(s),个人电脑,,,,,,,,,
"	1001911943","中国	新疆	乌鲁木齐	",2019/4/26 20:00,2019/4/26 20:01,0小时0分34秒,34.0(s),个人电脑,,,,,,,,,
"	1001911902","中国	北京	北京	",2019/4/26 20:00,2019/4/26 20:20,0小时20分9秒,1209.0(s),移动网页,,,,,,,,,
"	1002025364","中国	中国		",2019/4/26 20:00,2019/4/26 21:52,1小时51分23秒,6683.0(s),个人电脑,,,,,,,,,
"	1002003113","中国	陕西		",2019/4/26 20:00,2019/4/26 20:35,0小时35分8秒,2108.0(s),个人电脑,,,,,,,,,
"	1002085968","中国	江西	赣州	",2019/4/26 20:00,2019/4/26 20:06,0小时5分24秒,324.0(s),移动网页,,,,,,,,,
"	1002000218","中国	陕西	西安	",2019/4/26 20:00,2019/4/26 21:53,1小时52分10秒,6730.0(s),个人电脑,,,,,,,,,
"	1001950004","中国	北京	北京	",2019/4/26 20:00,2019/4/26 21:00,0小时59分35秒,3575.0(s),移动网页,,,,,,,,,
"	1002098695","中国	河南	新乡	",2019/4/26 20:00,2019/4/26 20:27,0小时26分12秒,1572.0(s),移动网页,,,,,,,,,
"	1002018043","中国	新疆		",2019/4/26 20:00,2019/4/26 20:59,0小时59分3秒,3543.0(s),个人电脑,,,,,,,,,
"	1002094613","中国	陕西	西安	",2019/4/26 20:00,2019/4/26 20:01,0小时0分19秒,19.0(s),个人电脑,,,,,,,,,
"	1001984313","中国	陕西	西安	",2019/4/26 20:00,2019/4/26 20:28,0小时27分35秒,1655.0(s),个人电脑,,,,,,,,,
"	1001986713","中国	陕西		",2019/4/26 20:00,2019/4/26 20:10,0小时9分56秒,596.0(s),个人电脑,,,,,,,,,
"	1002049416","中国	北京	北京	",2019/4/26 20:00,2019/4/26 20:32,0小时31分14秒,1874.0(s),移动网页,,,,,,,,,
"	1002018348","中国	河南	新乡	",2019/4/26 20:00,2019/4/26 20:27,0小时26分48秒,1608.0(s),移动网页,,,,,,,,,
"	1002091774","中国	陕西	西安	",2019/4/26 20:00,2019/4/26 20:59,0小时58分35秒,3515.0(s),个人电脑,,,,,,,,,
"	1001943742","中国	江西	赣州	",2019/4/26 20:00,2019/4/26 20:58,0小时57分39秒,3459.0(s),移动网页,,,,,,,,,
"	1002071231","中国	河南	新乡	",2019/4/26 20:00,2019/4/26 20:02,0小时1分32秒,92.0(s),移动网页,,,,,,,,,
"	1002077113","中国	北京	北京	",2019/4/26 20:00,2019/4/26 20:08,0小时8分1秒,481.0(s),移动网页,,,,,,,,,
"	1002077110","中国	河南	新乡	",2019/4/26 20:00,2019/4/26 21:00,0小时59分48秒,3588.0(s),移动网页,,,,,,,,,
"	1002018015","中国	陕西	西安	",2019/4/26 20:00,2019/4/26 20:03,0小时2分29秒,149.0(s),个人电脑,,,,,,,,,
"	1002050352","中国	陕西	西安	",2019/4/26 20:00,2019/4/26 20:25,0小时24分25秒,1465.0(s),个人电脑,,,,,,,,,
"	1001943482","中国	新疆		",2019/4/26 20:00,2019/4/26 20:59,0小时58分22秒,3502.0(s),个人电脑,,,,,,,,,
"	1002018082","中国	北京	北京	",2019/4/26 20:00,2019/4/26 20:11,0小时10分14秒,614.0(s),移动网页,,,,,,,,,
"	1002077244","中国	陕西	西安	",2019/4/26 20:00,2019/4/26 20:59,0小时58分41秒,3521.0(s),个人电脑,,,,,,,,,
"	1002057813","中国	江西	赣州	",2019/4/26 20:00,2019/4/26 20:02,0小时1分48秒,108.0(s),移动网页,,,,,,,,,
